Group Account Number|Outlet subAccountNumber|Project Number
182584100001|142392100004|P2031
182584100001|119748300004|P1452
182584100001|110367500004|P1485
182584100001|124875500004|P1491
182584100001|180835300004|P1095
182584100001|140433500004|P1933
182584100001|182006200004|P1918
182584100001|134294200004|P1036
182584100001|100021700091|P1708
182584100001|182572300004|P1384
182584100001|100021700098|P1294
182584100001|182724200004|P1462
182584100001|136444900004|P1101
182584100001|100862700004|P2056
182584100001|100021700079|P2047
182584100001|104716200004|P1261
182584100001|102148500004|P1215
182584100001|183677800004|P1483
182584100001|126035500004|P2016
182584100001|136773700004|P1516
182584100001|180328500004|P2038
182584100001|184638600004|P1678
182584100001|181597300004|P1444
182584100001|101394900004|P1373
182584100001|184741500004|P1815
182584100001|185381200004|P1348
182584100001|184808100004|P2096
182584100001|182606800004|P1936
182584100001|184601300004|P1655
182584100001|104513000004|P1278
182584100001|182129000004|P2030
182584100001|181373000004|P1046
182584100001|136753300004|P1425
182584100001|184890900004|P2091
182584100001|103276100004|P1531
182584100001|142655100004|P1264
182584100001|184078000004|P1469
182584100001|100021700040|P1358
182584100001|122502800004|P1142
182584100001|117619900004|P2092
182584100001|106378900004|P1431
182584100001|184227300004|P2058
182584100001|102634900004|P1147
182584100001|106380900004|P1249
182584100001|100021700006|P1484
182584100001|180102700004|P1260
182584100001|183759400004|P1121
182584100001|102653800004|P1906
182584100001|182552100004|P1445
182584100001|100021700042|P1492
182584100001|184891200004|P1346
182584100001|136562400004|P2088
182584100001|100021700095|P1927
182584100001|184520100004|P1364
182584100001|119086100004|P1194
182584100001|184593300004|P1116
182584100001|125367700004|P1356
182584100001|184630700004|P1475
182584100001|139628100004|P1287
182584100001|103911400004|P1536
182584100001|104456800004|P1236
182584100001|142657100004|P1487
182584100001|100021700089|P1416
182584100001|111941900004|P1930
182584100001|102676800004|P2072
182584100001|101716800004|P1676
182584100001|184319600004|P1253
182584100001|104184700004|P1213
182584100001|130604800004|P1498
182584100001|132945200004|P2066
182584100001|101565100004|P1976
182584100001|137026900004|P2019
182584100001|184773200004|P1370
182584100001|100021700018|P1225
182584100001|103539200004|P1605
182584100001|132008600004|P1953
182584100001|103601100004|P1677
182584100001|184846300004|P2024
182584100001|127475400004|P1250
182584100001|115065200004|P2090
182584100001|100021700055|P1809
182584100001|100021700070|P1816
182584100001|136143100004|P1232
182584100001|100021700013|P1680
182584100001|111019500004|P1921
182584100001|112812800004|P2097
182584100001|182581000004|P1038
182584100001|183970800008|P1992
182584100001|105053500004|P1472
182584100001|185298600004|P2007
182584100001|185801600004|P1230
182584100001|182223400004|P1825
182584100001|182612300004|P1172
182584100001|184549700004|P1302
182584100001|184855500004|P1045
182584100001|180922900004|P1707
182584100001|110472500004|P1173
182584100001|111638800004|P2089
182584100001|184443100004|P1168
182584100001|111258800004|P1282
182584100001|103175100004|P1494
182584100001|180464200012|P2086
182584100001|105310600004|P1823
182584100001|100021700088|P1805
182584100001|126014500004|P1335
182584100001|105303800004|P1828
182584100001|185421000004|P1679
182584100001|100021700065|P1166
182584100001|103704300004|P1238
182584100001|105334100004|P1820
182584100001|101038200004|P1534
182584100001|180804400007|P2094
182584100001|131243700004|P1304
182584100001|100021700014|P1176
182584100001|118702900004|P1342
182584100001|117972400004|P1840
182584100001|100021700022|P1900
182584100001|100945900004|P2095
182584100001|182572400004|P1353
182584100001|103566600004|P1231
182584100001|136342200004|P1394
182584100001|180842200004|P1171
182584100001|129271400004|P1347
182584100001|136983600004|P1334
182584100001|120903500004|P1540
182584100001|107367900004|P2012
182584100001|104540900004|P2061
182584100001|100021700005|
182584100001|100021700008|
182584100001|100021700009|
182584100001|100021700011|
182584100001|100021700017|
182584100001|100021700020|
182584100001|100021700021|
182584100001|100021700023|
182584100001|100021700024|
182584100001|100021700025|
182584100001|100021700026|
182584100001|100021700027|
182584100001|100021700028|
182584100001|100021700030|
182584100001|100021700031|
182584100001|100021700032|
182584100001|100021700033|
182584100001|100021700034|
182584100001|100021700037|
182584100001|100021700038|
182584100001|100021700039|
182584100001|100021700045|
182584100001|100021700047|
182584100001|100021700049|
182584100001|100021700052|
182584100001|100021700053|
182584100001|100021700056|
182584100001|100021700057|
182584100001|100021700058|
182584100001|100021700059|
182584100001|100021700060|
182584100001|100021700064|
182584100001|100021700067|
182584100001|100021700072|
182584100001|100021700073|
182584100001|100021700074|
182584100001|100021700076|
182584100001|100021700077|
182584100001|100021700078|
182584100001|100021700080|
182584100001|100021700081|
182584100001|100021700082|
182584100001|100021700083|
182584100001|100021700085|
182584100001|100021700090|
182584100001|100021700099|
182584100001|100032400062|
182584100001|100032500022|
182584100001|100038600054|
182584100001|100038600128|
182584100001|100038600178|
182584100001|100122300004|
182584100001|100352800004|
182584100001|100367600004|
182584100001|100394700004|
182584100001|100409000004|
182584100001|100419400004|
182584100001|100476600004|
182584100001|100500200004|
182584100001|100526700004|
182584100001|100553500004|
182584100001|100556400004|
182584100001|100584500004|
182584100001|100589800004|
182584100001|100634100004|
182584100001|100844900004|
182584100001|100935400004|
182584100001|100977400004|
182584100001|101016600004|
182584100001|101031800004|
182584100001|101121000004|
182584100001|101181200004|
182584100001|101197100004|
182584100001|101200000004|
182584100001|101218100004|
182584100001|101224200004|
182584100001|101229100004|
182584100001|101324500004|
182584100001|101391100004|
182584100001|101403300004|
182584100001|101450200004|
182584100001|101512000004|
182584100001|101628000004|
182584100001|101643500004|
182584100001|101655600004|
182584100001|101712600004|
182584100001|101725600004|
182584100001|101752000004|
182584100001|101759600004|
182584100001|101760500004|
182584100001|101761200004|
182584100001|101800200004|
182584100001|101808600004|
182584100001|101821100004|
182584100001|101823400004|
182584100001|102056800004|
182584100001|102104500004|
182584100001|102196700004|
182584100001|102268700004|
182584100001|102304100004|
182584100001|102355800004|
182584100001|102527200004|
182584100001|102608800004|
182584100001|102618000004|
182584100001|102630600004|
182584100001|102679200004|
182584100001|102725700004|
182584100001|102734800004|
182584100001|102803300004|
182584100001|102827800004|
182584100001|102836700004|
182584100001|102902700004|
182584100001|102918700004|
182584100001|102936500004|
182584100001|102940700004|
182584100001|102945600004|
182584100001|102993900004|
182584100001|103145600004|
182584100001|103387900004|
182584100001|103504600004|
182584100001|103521200004|
182584100001|103611700004|
182584100001|103714400004|
182584100001|103786000004|
182584100001|103792300004|
182584100001|103893400004|
182584100001|103906500004|
182584100001|103906700004|
182584100001|103926500004|
182584100001|103929400004|
182584100001|103977300004|
182584100001|104005900004|
182584100001|104043900004|
182584100001|104047400004|
182584100001|104053000004|
182584100001|104105200004|
182584100001|104119900004|
182584100001|104159800004|
182584100001|104216400004|
182584100001|104346200004|
182584100001|104400000004|
182584100001|104437300004|
182584100001|104447200004|
182584100001|104543700004|
182584100001|104552700004|
182584100001|104608600004|
182584100001|104615600004|
182584100001|104676100004|
182584100001|104718500004|
182584100001|104733900004|
182584100001|104747700004|
182584100001|104750700004|
182584100001|104751600004|
182584100001|104791500004|
182584100001|105024900004|
182584100001|105047900004|
182584100001|105107100004|
182584100001|105199400004|
182584100001|105201800004|
182584100001|105262400004|
182584100001|105356400004|
182584100001|105497300004|
182584100001|105738900004|
182584100001|105741400004|
182584100001|105741900004|
182584100001|105797800004|
182584100001|105839400004|
182584100001|105867900004|
182584100001|105887400004|
182584100001|105899100004|
182584100001|105990400004|
182584100001|106167700004|
182584100001|107621000004|
182584100001|109430200004|
182584100001|111839000004|
182584100001|112276900004|
182584100001|112456300004|
182584100001|112725400004|
182584100001|113735600004|
182584100001|113762200004|
182584100001|113864800004|
182584100001|113949000004|
182584100001|114219700004|
182584100001|116558300004|
182584100001|118378500004|
182584100001|118454900004|
182584100001|118845500004|
182584100001|119894200004|
182584100001|120547500004|
182584100001|121350200004|
182584100001|122727400004|
182584100001|123265300004|
182584100001|125158900004|
182584100001|125346000004|
182584100001|126372300004|
182584100001|126706400004|
182584100001|127062500004|
182584100001|127623600004|
182584100001|128309500004|
182584100001|130673600004|
182584100001|134363300004|
182584100001|134394700004|
182584100001|134473000004|
182584100001|135078600004|
182584100001|135318100004|
182584100001|135934300004|
182584100001|136163900004|
182584100001|136468600004|
182584100001|136646200004|
182584100001|136662500004|
182584100001|137350600004|
182584100001|137629400004|
182584100001|139141500004|
182584100001|139278700004|
182584100001|139721000004|
182584100001|139891300004|
182584100001|139934000004|
182584100001|141329500004|
182584100001|141418200004|
182584100001|141850800004|
182584100001|141929300004|
182584100001|142011000004|
182584100001|142493400004|
182584100001|180018800004|
182584100001|180028800004|
182584100001|180116800004|
182584100001|180132700004|
182584100001|180136100004|
182584100001|180157700004|
182584100001|180162900004|
182584100001|180165500004|
182584100001|180169600004|
182584100001|180170900004|
182584100001|180189000004|
182584100001|180291100004|
182584100001|180330800004|
182584100001|180464200004|
182584100001|180464200009|
182584100001|180464200011|
182584100001|180464200015|
182584100001|180594300004|
182584100001|180603700004|
182584100001|180740400004|
182584100001|180799900004|
182584100001|180800700004|
182584100001|180831700004|
182584100001|180867800004|
182584100001|180914600004|
182584100001|181168900004|
182584100001|181215200004|
182584100001|181235300004|
182584100001|181283900004|
182584100001|181326200004|
182584100001|181329600004|
182584100001|181338300004|
182584100001|181339600004|
182584100001|181349600004|
182584100001|181351100004|
182584100001|181362200004|
182584100001|181369600004|
182584100001|181380300004|
182584100001|181382100004|
182584100001|181384400004|
182584100001|181403600004|
182584100001|181457000004|
182584100001|181504700004|
182584100001|181931900004|
182584100001|182079600004|
182584100001|182098300004|
182584100001|182123300004|
182584100001|182197700004|
182584100001|182202700004|
182584100001|182204500004|
182584100001|182218200004|
182584100001|182221800004|
182584100001|182233400004|
182584100001|182239500004|
182584100001|182247700004|
182584100001|182247800004|
182584100001|182260300004|
182584100001|182300400004|
182584100001|182335900004|
182584100001|182351500004|
182584100001|182359200004|
182584100001|182407800004|
182584100001|182417500004|
182584100001|182559100004|
182584100001|182648400004|
182584100001|182660600004|
182584100001|182682500004|
182584100001|182692300004|
182584100001|182702700004|
182584100001|182729800004|
182584100001|182781500004|
182584100001|182815400004|
182584100001|183077800004|
182584100001|183080100004|
182584100001|183149900004|
182584100001|183189400004|
182584100001|183195800004|
182584100001|183483400004|
182584100001|183530200004|
182584100001|183611700004|
182584100001|183646500004|
182584100001|183660000004|
182584100001|183698900004|
182584100001|183735700004|
182584100001|183859100004|
182584100001|183915200004|
182584100001|183964800004|
182584100001|183998800004|
182584100001|184034800004|
182584100001|184082800004|
182584100001|184115500004|
182584100001|184156900004|
182584100001|184200700004|
182584100001|184245200004|
182584100001|184333600004|
182584100001|184371600004|
182584100001|184623900004|
182584100001|184754000004|
182584100001|184772600004|
182584100001|185113000004|
182584100001|185290700004|
182584100001|185548200004|
182584100001|185575200004|
182584100001|185583200004|
182584100001|185757500004|
182584100001|185789400004|
182584100001|185820100004|
182584100001|185845000004|
182584100001|185846600004|
182584100001|185849600004|
182584100001|185857300004|
182584100001|185877600004|
182584100001|185895200004|
182584100001|185895800004|
182584100001|185900000004|
182584100001|185919500004|
